"","entity_id","rapm","model_date","season","round","overall_round","circuit","dev_ratio","rapm_loess","rapm_blended","rapm_error","span_value","weight_value"
"204","haryanto-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"205","ocon-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"206","giovinazzi-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"207","stroll-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"208","gasly-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"209","brendon_hartley-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"210","leclerc-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"211","sirotkin-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"212","norris-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"213","albon-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"214","russell-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"215","kubica-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"216","latifi-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"217","aitken-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"218","pietro_fittipaldi-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"219","tsunoda-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"220","mick_schumacher-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"221","mazepin-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"222","zhou-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
"223","de_vries-d",0,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0,0,0.5,0.7
